,warehouse,date,holiday,shops_closed,winter_school_holidays,school_holidays,id,orders,year,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,day_num_week_0,day_num_week_1,day_num_week_2,day_num_week_3,day_num_week_4,day_num_week_5,day_num_week_6,holiday_name_1848 Revolution Memorial Day (Extra holiday),holiday_name_2nd Christmas Day,holiday_name_All Saints' Day Holiday,holiday_name_Christmas Eve,holiday_name_Cyrila a Metodej,holiday_name_Day of National Unity,holiday_name_Den boje za svobodu a demokracii,holiday_name_Den ceske statnosti,holiday_name_Den osvobozeni,holiday_name_Den vzniku samostatneho ceskoslovenskeho statu,holiday_name_Easter Monday,holiday_name_Good Friday,holiday_name_Independent Hungary Day,holiday_name_International womens day,holiday_name_Jan Hus,holiday_name_Labour Day,holiday_name_Memorial Day for the Martyrs of Arad,holiday_name_Memorial Day for the Victims of the Communist Dictatorships,holiday_name_Memorial Day for the Victims of the Holocaust,holiday_name_Memorial Day of the Republic,holiday_name_National Defense Day,holiday_name_New Years Day,holiday_name_Peace Festival in Augsburg,holiday_name_Reformation Day,IS_OUTLIER
6,Prague_1,2020-12-11,0,0,0,0,Prague_1_2020-12-11,7790.0,2020,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
7,Prague_1,2020-12-12,0,0,0,0,Prague_1_2020-12-12,7165.0,2020,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
8,Prague_1,2020-12-13,0,0,0,0,Prague_1_2020-12-13,6844.0,2020,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
9,Prague_1,2020-12-14,0,0,0,0,Prague_1_2020-12-14,7010.0,2020,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
10,Prague_1,2020-12-15,0,0,0,0,Prague_1_2020-12-15,7243.0,2020,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
11,Prague_1,2020-12-16,0,0,0,0,Prague_1_2020-12-16,7429.0,2020,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
12,Prague_1,2020-12-17,0,0,0,0,Prague_1_2020-12-17,7538.0,2020,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
13,Prague_1,2020-12-18,0,0,0,0,Prague_1_2020-12-18,8072.0,2020,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
14,Prague_1,2020-12-19,0,0,0,0,Prague_1_2020-12-19,7868.0,2020,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
15,Prague_1,2020-12-20,0,0,0,0,Prague_1_2020-12-20,8128.0,2020,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
16,Prague_1,2020-12-21,0,0,0,0,Prague_1_2020-12-21,8605.0,2020,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
17,Prague_1,2020-12-22,0,0,0,0,Prague_1_2020-12-22,8875.0,2020,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
18,Prague_1,2020-12-23,0,0,0,0,Prague_1_2020-12-23,8968.0,2020,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
19,Prague_1,2020-12-24,1,0,0,0,Prague_1_2020-12-24,4327.0,2020,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
20,Prague_1,2020-12-26,1,1,0,0,Prague_1_2020-12-26,7784.0,2020,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
21,Prague_1,2020-12-27,0,0,0,0,Prague_1_2020-12-27,6702.0,2020,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
22,Prague_1,2020-12-28,0,0,0,0,Prague_1_2020-12-28,7210.0,2020,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
23,Prague_1,2020-12-29,0,0,0,0,Prague_1_2020-12-29,7597.0,2020,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
24,Prague_1,2020-12-30,0,0,0,0,Prague_1_2020-12-30,7618.0,2020,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
25,Prague_1,2020-12-31,0,0,0,0,Prague_1_2020-12-31,6238.0,2020,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
26,Prague_1,2021-01-01,1,1,0,0,Prague_1_2021-01-01,3754.0,2021,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
27,Prague_1,2021-01-02,0,0,0,0,Prague_1_2021-01-02,6553.0,2021,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
28,Prague_1,2021-01-03,0,0,0,0,Prague_1_2021-01-03,6841.0,2021,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
29,Prague_1,2021-01-04,0,0,0,0,Prague_1_2021-01-04,7984.0,2021,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
30,Prague_1,2021-01-05,0,0,0,0,Prague_1_2021-01-05,7466.0,2021,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
31,Prague_1,2021-01-06,0,0,0,0,Prague_1_2021-01-06,7422.0,2021,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
32,Prague_1,2021-01-07,0,0,0,0,Prague_1_2021-01-07,7669.0,2021,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
33,Prague_1,2021-01-08,0,0,0,0,Prague_1_2021-01-08,8083.0,2021,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
34,Prague_1,2021-01-09,0,0,0,0,Prague_1_2021-01-09,7555.0,2021,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
35,Prague_1,2021-01-10,0,0,0,0,Prague_1_2021-01-10,7435.0,2021,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
36,Prague_1,2021-01-11,0,0,0,0,Prague_1_2021-01-11,7766.0,2021,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
37,Prague_1,2021-01-12,0,0,0,0,Prague_1_2021-01-12,7854.0,2021,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
38,Prague_1,2021-01-13,0,0,0,0,Prague_1_2021-01-13,7728.0,2021,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
39,Prague_1,2021-01-14,0,0,0,0,Prague_1_2021-01-14,7873.0,2021,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
40,Prague_1,2021-01-15,0,0,0,0,Prague_1_2021-01-15,8191.0,2021,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
41,Prague_1,2021-01-16,0,0,0,0,Prague_1_2021-01-16,7660.0,2021,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
42,Prague_1,2021-01-17,0,0,0,0,Prague_1_2021-01-17,7352.0,2021,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
43,Prague_1,2021-01-18,0,0,0,0,Prague_1_2021-01-18,8212.0,2021,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
44,Prague_1,2021-01-19,0,0,0,0,Prague_1_2021-01-19,7993.0,2021,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
45,Prague_1,2021-01-20,0,0,0,0,Prague_1_2021-01-20,7669.0,2021,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
46,Prague_1,2021-01-21,0,0,0,0,Prague_1_2021-01-21,7903.0,2021,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
47,Prague_1,2021-01-22,0,0,0,0,Prague_1_2021-01-22,8491.0,2021,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
48,Prague_1,2021-01-23,0,0,0,0,Prague_1_2021-01-23,7846.0,2021,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
49,Prague_1,2021-01-24,0,0,0,0,Prague_1_2021-01-24,7346.0,2021,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
50,Prague_1,2021-01-25,0,0,0,0,Prague_1_2021-01-25,7776.0,2021,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
51,Prague_1,2021-01-26,0,0,0,0,Prague_1_2021-01-26,7735.0,2021,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
52,Prague_1,2021-01-27,0,0,0,0,Prague_1_2021-01-27,7561.0,2021,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
53,Prague_1,2021-01-28,0,0,0,0,Prague_1_2021-01-28,7855.0,2021,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
54,Prague_1,2021-01-29,0,0,0,0,Prague_1_2021-01-29,8269.0,2021,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
55,Prague_1,2021-01-30,0,0,0,0,Prague_1_2021-01-30,8113.0,2021,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
56,Prague_1,2021-01-31,0,0,0,0,Prague_1_2021-01-31,7134.0,2021,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
57,Prague_1,2021-02-01,0,0,0,0,Prague_1_2021-02-01,7531.0,2021,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
58,Prague_1,2021-02-02,0,0,0,0,Prague_1_2021-02-02,7676.0,2021,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
